,dt,bid_count,position_count,cash_value,positions_value,total_value
194,2020-06-17,0,8,14020.749456024161,95105.24368286133,109125.99313888549
195,2020-06-18,1,9,8184.930047607413,101389.53666687012,109574.46671447753
196,2020-06-19,0,9,8184.930047607413,101169.37561035156,109354.30565795898
197,2020-06-22,0,9,8184.930047607413,101620.27702331543,109805.20707092284
198,2020-06-23,0,9,8184.930047607413,102165.11001586914,110350.04006347655
199,2020-06-24,1,10,2637.4016006469637,104815.15274047852,107452.55434112548
200,2020-06-25,1,9,8108.5491172790435,100289.18190002441,108397.73101730346
201,2020-06-26,0,9,8108.5491172790435,98272.73635864258,106381.28547592163
202,2020-06-29,0,9,8108.5491172790435,100725.28076171875,108833.8298789978
203,2020-06-30,2,9,25579.07832336425,85168.01223754883,110747.09056091309
204,2020-07-01,0,9,25579.07832336425,85888.66310119629,111467.74142456055
205,2020-07-02,0,9,25579.07832336425,88197.92137145996,113776.99969482422
206,2020-07-06,1,10,19437.039712524405,97435.39543151855,116872.43514404296
207,2020-07-07,0,10,19437.039712524405,97047.33085632324,116484.37056884765
208,2020-07-08,0,10,19437.039712524405,96478.67164611816,115915.71135864257
209,2020-07-09,1,11,6285.6551666259675,109087.84828186035,115373.50344848631
210,2020-07-10,1,10,28085.56081542968,90811.84844970703,118897.40926513671
211,2020-07-13,0,10,28085.56081542968,90275.62828063965,118361.18909606933
212,2020-07-14,0,10,28085.56081542968,91498.94790649414,119584.50872192382
213,2020-07-15,2,10,18414.380436706535,102260.92376708984,120675.30420379638
214,2020-07-16,0,10,18414.380436706535,101435.66703796387,119850.0474746704
215,2020-07-17,0,10,18414.380436706535,101704.97360229492,120119.35403900145
216,2020-07-20,1,9,24317.797667694085,97129.8110961914,121447.6087638855
217,2020-07-21,1,10,14650.864452362055,106749.40948486328,121400.27393722534
218,2020-07-22,0,10,14650.864452362055,107739.08462524414,122389.9490776062
219,2020-07-23,0,10,14650.864452362055,106013.68560791016,120664.55006027222
220,2020-07-24,1,11,5341.444916534418,113502.33993530273,118843.78485183715
221,2020-07-27,1,11,5341.444916534418,115366.82624816895,120708.27116470336
222,2020-07-28,0,11,5341.444916534418,114412.65449523926,119754.09941177367
223,2020-07-29,0,11,5341.444916534418,115935.44883728027,121276.89375381469
224,2020-07-30,2,11,7085.758698272698,113653.73344421387,120739.49214248656
225,2020-07-31,0,11,7085.758698272698,112755.60760498047,119841.36630325316
226,2020-08-03,1,11,7085.758698272698,114098.32000732422,121184.07870559691
227,2020-08-04,0,11,7085.758698272698,114230.35469055176,121316.11338882445
228,2020-08-05,1,10,12358.098085021964,110442.41256713867,122800.51065216064
229,2020-08-06,1,10,12358.098085021964,110418.02825927734,122776.12634429931
230,2020-08-07,0,10,12358.098085021964,110148.20327758789,122506.30136260985
231,2020-08-10,1,9,18597.457837676993,104201.60026550293,122799.05810317992
232,2020-08-11,0,9,18597.457837676993,103581.36863708496,122178.82647476195
233,2020-08-12,1,10,7158.90602951049,117554.87937927246,124713.78540878295
234,2020-08-13,0,10,7158.90602951049,118422.15385437012,125581.0598838806
235,2020-08-14,0,10,7158.90602951049,119041.3314819336,126200.23751144408
236,2020-08-17,0,10,7158.90602951049,122130.39855957031,129289.3045890808
237,2020-08-18,1,10,7158.90602951049,122520.27130126953,129679.17733078002
238,2020-08-19,0,10,7158.90602951049,122259.85412597656,129418.76015548705
239,2020-08-20,1,9,33796.591399383535,97079.64324951172,130876.23464889525
240,2020-08-21,1,10,23121.775623321522,108232.28721618652,131354.06283950806
241,2020-08-24,1,11,16355.050344085683,116889.35852050781,133244.40886459348
242,2020-08-25,1,10,27204.45901260375,105951.05018615723,133155.50919876096
243,2020-08-26,0,10,27204.45901260375,105609.95750427246,132814.4165168762
244,2020-08-27,1,11,10170.459012603751,123088.42582702637,133258.8848396301
245,2020-08-28,0,11,10170.459012603751,124026.0025024414,134196.46151504514
246,2020-08-31,0,11,10170.459012603751,123338.76075744629,133509.21977005003
247,2020-09-01,0,11,10170.459012603751,124560.78224182129,134731.24125442503
248,2020-09-02,0,11,10170.459012603751,127238.2194519043,137408.67846450803
249,2020-09-03,1,11,10170.459012603751,123089.21394348145,133259.67295608518
250,2020-09-04,0,11,10170.459012603751,120915.7112121582,131086.17022476194
251,2020-09-08,0,11,10170.459012603751,117392.7074432373,127563.16645584106
252,2020-09-09,1,11,10170.459012603751,120329.62036132812,130500.07937393188
253,2020-09-10,1,10,22434.90912399291,105575.83923339844,128010.74835739135
254,2020-09-11,0,10,22434.90912399291,105476.71318054199,127911.6223045349
255,2020-09-14,0,10,22434.90912399291,106458.68797302246,128893.59709701537
256,2020-09-15,2,10,28688.528356647483,100077.8495311737,128766.37788782119
257,2020-09-16,0,10,28688.528356647483,99727.01692581177,128415.54528245925
258,2020-09-17,0,10,28688.528356647483,98643.27001571655,127331.79837236404
259,2020-09-18,1,11,4759.676394367209,121570.32117843628,126329.99757280349
260,2020-09-21,1,12,381.7237172126679,124149.82409477234,124531.547811985
261,2020-09-22,0,12,381.7237172126679,125733.21027755737,126114.93399477004
262,2020-09-23,0,12,381.7237172126679,124051.34263038635,124433.06634759901
263,2020-09-24,1,12,381.7237172126679,124153.9589881897,124535.68270540236
264,2020-09-25,1,11,9200.1774113655,116337.52212524414,125537.69953660964
265,2020-09-28,0,11,9200.1774113655,118394.26894187927,127594.44635324477
266,2020-09-29,0,11,9200.1774113655,118085.00294685364,127285.18035821914
267,2020-09-30,2,10,32261.65702867507,95484.48686599731,127746.14389467238
268,2020-10-01,0,10,32261.65702867507,95814.34350013733,128076.0005288124
269,2020-10-02,0,10,32261.65702867507,95129.63428497314,127391.29131364821
270,2020-10-05,1,9,48225.66569871901,80806.80665969849,129032.4723584175
271,2020-10-06,1,9,48225.66569871901,79872.60928153992,128098.27498025892
272,2020-10-07,0,9,48225.66569871901,81204.65574264526,129430.32144136427
273,2020-10-08,0,9,48225.66569871901,82292.94972419739,130518.6154229164
274,2020-10-09,1,10,42699.226556873306,88075.54607391357,130774.77263078687
275,2020-10-12,1,11,28690.221991443617,102541.56169891357,131231.7836903572
276,2020-10-13,0,11,28690.221991443617,102817.72260665894,131507.94459810256
277,2020-10-14,0,11,28690.221991443617,102149.41749572754,130839.63948717115
278,2020-10-15,2,11,19520.861960315688,110951.7107963562,130472.57275667189
279,2020-10-16,0,11,19520.861960315688,112082.50522613525,131603.36718645095
280,2020-10-19,0,11,19520.861960315688,110533.81567001343,130054.67763032911
281,2020-10-20,1,10,24994.49968004225,105102.64849662781,130097.14817667006
282,2020-10-21,1,10,24994.49968004225,105555.63430786133,130550.13398790358
283,2020-10-22,0,10,24994.49968004225,105044.1164970398,130038.61617708205
284,2020-10-23,0,10,24994.49968004225,105255.63735961914,130250.1370396614
285,2020-10-26,0,10,24994.49968004225,103483.41917991638,128477.91885995863
286,2020-10-27,1,11,15677.080014514902,112129.6480178833,127806.7280323982
287,2020-10-28,0,11,15677.080014514902,109073.91266822815,124750.99268274305
288,2020-10-29,0,11,15677.080014514902,109615.38925170898,125292.46926622388
289,2020-10-30,2,11,27169.06416826246,96786.37113571167,123955.43530397413
290,2020-11-02,0,11,27169.06416826246,99020.27130126953,126189.33546953199
291,2020-11-03,1,12,401.8946187019137,127264.14308547974,127666.03770418165
292,2020-11-04,0,12,401.8946187019137,126831.51717185974,127233.41179056166
293,2020-11-05,1,11,23489.80137834547,106398.91204833984,129888.71342668531
294,2020-11-06,1,11,23489.80137834547,106198.79488945007,129688.59626779554
295,2020-11-09,1,12,19148.326311206798,113815.07277488708,132963.39908609388
296,2020-11-10,1,11,24013.928845691662,110024.05290603638,134037.98175172805
297,2020-11-11,0,11,24013.928845691662,109398.27651977539,133412.20536546706
298,2020-11-12,1,12,18058.035632038096,114127.51035690308,132185.54598894116
299,2020-11-13,0,12,18058.035632038096,116703.26681137085,134761.30244340893
300,2020-11-16,0,12,18058.035632038096,118907.05108642578,136965.08671846386
301,2020-11-17,0,12,18058.035632038096,119138.73147964478,137196.76711168286
302,2020-11-18,1,13,14489.955616474132,121671.78630828857,136161.7419247627
303,2020-11-19,0,13,14489.955616474132,120990.1029586792,135480.05857515332
304,2020-11-20,1,12,24731.580366229988,110079.28466796875,134810.86503419874
305,2020-11-23,0,12,24731.580366229988,112277.4585723877,137009.03893861768
306,2020-11-24,1,12,24731.580366229988,114668.48192214966,139400.06228837965
307,2020-11-25,1,11,33063.28977327344,105939.59341049194,139002.8831837654
308,2020-11-27,1,12,26122.871854877445,112401.67446136475,138524.5463162422
309,2020-11-30,2,12,19104.35219087598,118510.60934066772,137614.9615315437
310,2020-12-01,0,12,19104.35219087598,119886.45896911621,138990.81115999218
311,2020-12-02,0,12,19104.35219087598,120945.81508636475,140050.16727724072
312,2020-12-03,1,13,9367.220417499515,130930.85241317749,140298.072830677
313,2020-12-04,0,13,9367.220417499515,132279.57620620728,141646.7966237068
314,2020-12-07,0,13,9367.220417499515,132032.99036026,141400.21077775952
315,2020-12-08,0,13,9367.220417499515,132844.0640449524,142211.2844624519
316,2020-12-09,1,14,5475.329323291751,136385.97993850708,141861.30926179883
317,2020-12-10,1,13,15820.015207385988,124934.51328277588,140754.52849016187
318,2020-12-11,0,13,15820.015207385988,124359.8560333252,140179.8712407112
319,2020-12-14,0,13,15820.015207385988,123099.13330078125,138919.14850816724
320,2020-12-15,2,12,16709.120693302124,123374.76577758789,140083.88647089002
321,2020-12-16,0,12,16709.120693302124,123766.83769226074,140475.95838556287
322,2020-12-17,0,12,16709.120693302124,124244.42939758301,140953.55009088514
